   0.76578  -0.64887   0.07824
   0.77243  -0.65233   0.07671
   0.77901  -0.65572   0.07518
   0.78553  -0.65905   0.07364
   0.79197  -0.66231   0.07211
   0.79834  -0.66550   0.07057
   0.80464  -0.66863   0.06903
   0.81086  -0.67169   0.06749
   0.81701  -0.67469   0.06595
   0.82307  -0.67762   0.06441
   0.82905  -0.68049   0.06288
   0.83496  -0.68329   0.06135
   0.84077  -0.68603   0.05983
   0.84651  -0.68871   0.05832
   0.85216  -0.69132   0.05681
   0.85771  -0.69388   0.05532
   0.86318  -0.69636   0.05383
   0.86856  -0.69879   0.05236
   0.87385  -0.70116   0.05090
   0.87905  -0.70346   0.04945
   0.88415  -0.70570   0.04802
   0.88915  -0.70789   0.04660
   0.89406  -0.71001   0.04521
   0.89887  -0.71208   0.04382
   0.90358  -0.71409   0.04246
   0.90819  -0.71604   0.04112
   0.91270  -0.71793   0.03980
   0.91710  -0.71976   0.03850
   0.92140  -0.72154   0.03722
   0.92560  -0.72326   0.03597
   0.92969  -0.72493   0.03474
   0.93367  -0.72654   0.03353
   0.93754  -0.72810   0.03235
   0.94131  -0.72961   0.03120
   0.94496  -0.73106   0.03008
   0.94851  -0.73246   0.02899
   0.95194  -0.73380   0.02792
   0.95526  -0.73509   0.02689
   0.95847  -0.73634   0.02589
   0.96156  -0.73753   0.02491
   0.96454  -0.73867   0.02397
   0.96740  -0.73976   0.02307
   0.97015  -0.74080   0.02220
   0.97277  -0.74179   0.02136
   0.97528  -0.74273   0.02056
   0.97768  -0.74363   0.01979
   0.97995  -0.74447   0.01906
   0.98210  -0.74527   0.01836
   0.98413  -0.74602   0.01770
   0.98605  -0.74672   0.01708
   0.98784  -0.74738   0.01650
   0.98951  -0.74799   0.01596
   0.99105  -0.74855   0.01545
   0.99248  -0.74907   0.01498
   0.99378  -0.74954   0.01456
   0.99496  -0.74997   0.01417
   0.99602  -0.75035   0.01382
   0.99695  -0.75068   0.01352
   0.99776  -0.75097   0.01325
   0.99844  -0.75122   0.01302
   0.99900  -0.75142   0.01284
   0.99944  -0.75157   0.01270
   0.99975  -0.75169   0.01259
   0.99994  -0.75175   0.01253
   1.00000  -0.75177   0.01251

  BLADE SURFACE COORDINATES GENERATED USING INTYPE = 1

  XUP          YUP       XLOW      YLOW 
   0.00001   0.01251  -0.00001  -0.01251
   0.00007   0.01257   0.00005  -0.01273
   0.00026   0.01258   0.00024  -0.01322
   0.00057   0.01251   0.00055  -0.01395
   0.00101   0.01235   0.00099  -0.01490
   0.00157   0.01207   0.00155  -0.01607
   0.00225   0.01168   0.00223  -0.01743
   0.00306   0.01118   0.00304  -0.01900
   0.00399   0.01055   0.00397  -0.02075
   0.00505   0.00980   0.00503  -0.02270
   0.00623   0.00893   0.00621  -0.02483
   0.00753   0.00793   0.00751  -0.02714
   0.00896   0.00680   0.00894  -0.02964
   0.01050   0.00554   0.01048  -0.03230
   0.01217   0.00416   0.01215  -0.03514
   0.01396   0.00265   0.01394  -0.03815
   0.01588   0.00101   0.01586  -0.04132
   0.01791  -0.00076   0.01789  -0.04465
   0.02006  -0.00266   0.02004  -0.04814
   0.02233  -0.00469   0.02231  -0.05178
   0.02473  -0.00684   0.02471  -0.05558
   0.02724  -0.00912   0.02722  -0.05952
   0.02986  -0.01152   0.02984  -0.06361
   0.03261  -0.01405   0.03259  -0.06784
   0.03547  -0.01670   0.03545  -0.07220
   0.03845  -0.01947   0.03843  -0.07670
   0.04154  -0.02236   0.04152  -0.08133
   0.04475  -0.02537   0.04473  -0.08609
   0.04807  -0.02850   0.04805  -0.09097
   0.05150  -0.03174   0.05148  -0.09597
   0.05505  -0.03510   0.05503  -0.10108
   0.05870  -0.03857   0.05868  -0.10631
   0.06247  -0.04215   0.06245  -0.11164
   0.06634  -0.04583   0.06632  -0.11708
   0.07032  -0.04963   0.07030  -0.12262
   0.07441  -0.05353   0.07439  -0.12825
   0.07861  -0.05753   0.07859  -0.13398
   0.08291  -0.06163   0.08289  -0.13980
   0.08731  -0.06583   0.08729  -0.14570
   0.09182  -0.07012   0.09180  -0.15169
   0.09643  -0.07451   0.09641  -0.15776
   0.10114  -0.07899   0.10112  -0.16390
   0.10595  -0.08356   0.10593  -0.17011
   0.11086  -0.08822   0.11084  -0.17639
   0.11586  -0.09296   0.11584  -0.18273
   0.12096  -0.09778   0.12094  -0.18913
   0.12616  -0.10269   0.12614  -0.19559
   0.13145  -0.10767   0.13143  -0.20210
   0.13683  -0.11273   0.13681  -0.20866
   0.14230  -0.11787   0.14228  -0.21527
   0.14785  -0.12307   0.14783  -0.22192
   0.15350  -0.12834   0.15348  -0.22861
   0.15924  -0.13369   0.15922  -0.23534
   0.16505  -0.13909   0.16503  -0.24210
   0.17096  -0.14456   0.17094  -0.24889
   0.17694  -0.15009   0.17692  -0.25570
   0.18300  -0.15567   0.18298  -0.26254
   0.18915  -0.16132   0.18913  -0.26940
   0.19537  -0.16701   0.19535  -0.27628
   0.20167  -0.17276   0.20165  -0.28317
   0.20804  -0.17856   0.20802  -0.29007
   0.21448  -0.18440   0.21446  -0.29698
   0.22100  -0.19029   0.22098  -0.30389
   0.22758  -0.19623   0.22756  -0.31081
   0.23423  -0.20220   0.23421  -0.31773
   0.24095  -0.20821   0.24093  -0.32465
   0.24773  -0.21426   0.24771  -0.33156
   0.25458  -0.22034   0.25456  -0.33846
   0.26149  -0.22646   0.26147  -0.34535
   0.26846  -0.23261   0.26844  -0.35223
   0.27548  -0.23878   0.27546  -0.35909
   0.28256  -0.24498   0.28254  -0.36594
   0.28969  -0.25121   0.28967  -0.37276
   0.29688  -0.25745   0.29686  -0.37956
   0.30412  -0.26372   0.30410  -0.38634
   0.31141  -0.27000   0.31139  -0.39308
   0.31874  -0.27629   0.31872  -0.39979
   0.32612  -0.28259   0.32610  -0.40647
   0.33354  -0.28891   0.33352  -0.41311
   0.34100  -0.29523   0.34098  -0.41971
   0.34851  -0.30155   0.34849  -0.42627
   0.35605  -0.30788   0.35603  -0.43279
   0.36363  -0.31421   0.36361  -0.43926
   0.37124  -0.32054   0.37122  -0.44569
   0.37888  -0.32687   0.37886  -0.45207
   0.38655  -0.33319   0.38653  -0.45840
   0.39425  -0.33951   0.39423  -0.46468
   0.40198  -0.34582   0.40196  -0.47090
   0.40973  -0.35212   0.40971  -0.47707
   0.41751  -0.35841   0.41749  -0.48319
   0.42530  -0.36469   0.42528  -0.48924
   0.43312  -0.37095   0.43310  -0.49524
   0.44095  -0.37719   0.44093  -0.50117
   0.44879  -0.38342   0.44877  -0.50705
   0.45665  -0.38963   0.45663  -0.51286
   0.46452  -0.39581   0.46450  -0.51860
   0.47240  -0.40197   0.47238  -0.52428
   0.48028  -0.40811   0.48026  -0.52990
   0.48817  -0.41422   0.48815  -0.53545
   0.49606  -0.42031   0.49604  -0.54093
   0.50396  -0.42636   0.50394  -0.54634
   0.51185  -0.43238   0.51183  -0.55167
   0.51974  -0.43837   0.51972  -0.55694
   0.52762  -0.44433   0.52760  -0.56213
   0.53550  -0.45025   0.53548  -0.56725
   0.54337  -0.45613   0.54335  -0.57230
   0.55123  -0.46197   0.55121  -0.57727
   0.55907  -0.46777   0.55905  -0.58216
   0.56690  -0.47353   0.56688  -0.58698
   0.57472  -0.47925   0.57470  -0.59172
   0.58251  -0.48493   0.58249  -0.59638
   0.59029  -0.49056   0.59027  -0.60097
   0.59804  -0.49614   0.59802  -0.60548
   0.60577  -0.50168   0.60575  -0.60992
   0.61347  -0.50717   0.61345  -0.61427
   0.62114  -0.51260   0.62112  -0.61855
   0.62878  -0.51799   0.62876  -0.62275
   0.63639  -0.52333   0.63637  -0.62687
   0.64397  -0.52862   0.64395  -0.63091
   0.65151  -0.53385   0.65149  -0.63488
   0.65902  -0.53903   0.65900  -0.63876
   0.66648  -0.54415   0.66646  -0.64257
   0.67390  -0.54922   0.67388  -0.64631
   0.68128  -0.55423   0.68126  -0.64996
   0.68861  -0.55919   0.68859  -0.65354
   0.69590  -0.56409   0.69588  -0.65705
   0.70314  -0.56893   0.70312  -0.66047
   0.71033  -0.57371   0.71030  -0.66383
   0.71746  -0.57843   0.71744  -0.66710
   0.72454  -0.58309   0.72452  -0.67031
   0.73156  -0.58768   0.73154  -0.67343
   0.73853  -0.59222   0.73851  -0.67649
   0.74544  -0.59670   0.74542  -0.67947
   0.75229  -0.60111   0.75227  -0.68238
   0.75907  -0.60546   0.75905  -0.68522
   0.76579  -0.60975   0.76577  -0.68799
   0.77244  -0.61397   0.77242  -0.69068
   0.77902  -0.61813   0.77900  -0.69331
   0.78554  -0.62223   0.78552  -0.69587
   0.79198  -0.62625   0.79196  -0.69836
   0.79835  -0.63022   0.79833  -0.70079
   0.80465  -0.63412   0.80463  -0.70314
   0.81087  -0.63795   0.81085  -0.70544
   0.81702  -0.64172   0.81700  -0.70766
   0.82308  -0.64542   0.82306  -0.70983
   0.82906  -0.64905   0.82904  -0.71193
   0.83497  -0.65262   0.83495  -0.71397
   0.84078  -0.65612   0.84076  -0.71595
   0.84652  -0.65955   0.84650  -0.71787
   0.85217  -0.66292   0.85215  -0.71973
   0.85772  -0.66622   0.85770  -0.72153
   0.86319  -0.66945   0.86317  -0.72328
   0.86857  -0.67261   0.86855  -0.72497
   0.87386  -0.67571   0.87384  -0.72661
   0.87906  -0.67873   0.87904  -0.72819
   0.88416  -0.68169   0.88414  -0.72971
   0.88916  -0.68459   0.88914  -0.73119
   0.89407  -0.68741   0.89405  -0.73262
   0.89888  -0.69017   0.89886  -0.73399
   0.90359  -0.69286   0.90357  -0.73532
   0.90820  -0.69548   0.90818  -0.73659
   0.91271  -0.69803   0.91269  -0.73783
   0.91711  -0.70051   0.91709  -0.73901
   0.92141  -0.70293   0.92139  -0.74015
   0.92561  -0.70528   0.92559  -0.74125
   0.92970  -0.70756   0.92968  -0.74230
   0.93368  -0.70978   0.93366  -0.74331
   0.93755  -0.71192   0.93753  -0.74428
   0.94132  -0.71400   0.94130  -0.74521
   0.94497  -0.71602   0.94495  -0.74610
   0.94852  -0.71796   0.94850  -0.74695
   0.95195  -0.71984   0.95193  -0.74776
   0.95527  -0.72165   0.95525  -0.74854
   0.95848  -0.72339   0.95846  -0.74928
   0.96157  -0.72507   0.96155  -0.74998
   0.96455  -0.72668   0.96453  -0.75065
   0.96741  -0.72822   0.96739  -0.75129
   0.97016  -0.72970   0.97014  -0.75190
   0.97278  -0.73111   0.97276  -0.75247
   0.97529  -0.73245   0.97527  -0.75301
   0.97769  -0.73373   0.97767  -0.75352
   0.97996  -0.73494   0.97994  -0.75400
   0.98211  -0.73609   0.98209  -0.75445
   0.98414  -0.73717   0.98412  -0.75487
   0.98606  -0.73818   0.98604  -0.75526
   0.98785  -0.73913   0.98783  -0.75563
   0.98952  -0.74001   0.98950  -0.75597
   0.99106  -0.74083   0.99104  -0.75628
   0.99249  -0.74158   0.99247  -0.75656
   0.99379  -0.74226   0.99377  -0.75682
   0.99497  -0.74288   0.99495  -0.75705
   0.99603  -0.74343   0.99601  -0.75726
   0.99696  -0.74392   0.99694  -0.75744
   0.99777  -0.74435   0.99775  -0.75760
   0.99845  -0.74470   0.99843  -0.75773
   0.99901  -0.74500   0.99899  -0.75784
   0.99945  -0.74523   0.99943  -0.75792
   0.99976  -0.74539   0.99974  -0.75798
   0.99995  -0.74549   0.99993  -0.75802
   1.00001  -0.74552   0.99999  -0.75803

XIN,   MODIFIED LEADING EDGE THICKNESS     0.00000     0.00000
XIN,   MODIFIED LEADING EDGE THICKNESS     0.00006     0.09652
